age,income,browsing_habits,purchase
56,67919,5.100887345343194,0
46,57839,3.005215626244083,0
32,49782,6.244958810083185,0
60,41621,2.579116499528019,0
25,32009,0.404514900560784,0
38,95794,7.9365590918173226,1
56,56915,9.958651823279853,0
36,47374,9.564437503156235,0
40,95257,8.797493682396766,1
28,66915,7.474228852688226,0
28,44315,1.6194761267885993,0
41,90521,1.557859704359148,1
53,83962,1.4967705044777768,0
57,80915,4.596124559658731,1
41,92028,4.760034628074142,1
20,83605,5.77590579287437,1
39,51371,2.267199087891533,0
19,54956,0.3971406346841244,0
41,97851,1.0076234962977415,1
61,31268,0.6940076377702453,0
47,86733,7.928120497415491,1
55,29005,1.346948463538079,0
19,75705,7.50457056022892,0
38,52963,1.0710157638225126,0
50,92263,4.958354912090293,0
29,61599,2.8785956824303414,0
39,61355,6.514297788300944,0
61,29676,1.4598178399521955,0
42,64500,5.8861415756548565,0
44,59091,5.715892900193205,0
59,60868,4.029528599200917,0
45,53830,4.824912149644432,0
33,30822,1.4697719693234657,0
32,52844,8.105140687387864,0
64,69074,6.047578828079364,1
61,64487,1.1944800246508025,0
20,68556,9.175378403371656,0
54,88737,6.226264606232089,0
24,42429,1.723363973917994,0
38,68556,2.2418182118776153,0
26,25648,2.04139388202167,0
56,28741,2.253023875643334,0
35,31424,2.097722468962999,0
21,25981,7.459723766055135,0
42,93053,5.913998432638526,1
31,74283,2.333515218811082,0
26,44934,9.31952066266139,0
43,38415,0.11616670735335011,0
19,39975,6.8559132942792,0
37,39488,5.4338412842476504,0
45,40911,5.314363639688983,0
64,81740,5.513522749350569,1
24,93074,4.866269323291438,1
61,66378,9.464782950587153,1
25,61240,6.1874011394930575,0
64,90158,4.5939342659168165,1
52,86057,8.600550932797526,1
31,41907,8.896570031078083,0
34,75676,7.744035526609202,0
53,96897,5.738101237414412,1
57,32500,0.4270094765914567,0
21,62808,9.101052609315168,0
19,25165,8.175641714942891,0
23,60814,9.335117789542268,0
59,75931,1.345316633041358,0
21,31495,9.611453918112232,0
46,87712,9.656962576060424,1
35,76631,4.533885305376877,0
43,61914,0.7437551261903375,0
61,35805,6.2185999175355,0
51,53746,6.262453563167258,0
27,49224,5.306030141094297,0
53,82606,3.2814439535698026,1
31,75851,0.718162671922371,0
48,68382,5.623815007257509,0
32,48782,3.1417234011166437,0
25,48896,0.9965731918479004,0
31,35552,1.9028283393170486,0
40,62100,7.9051054955404245,0
57,79809,8.064308365555915,0
38,20387,7.67619241750679,0
33,22896,0.7582790742926215,0
62,60321,1.1058432384352646,0
35,63430,2.3326228967765217,0
64,85272,9.793688908731555,1
41,45525,2.7489910851102284,0
43,54089,9.34767828662803,0
42,29772,6.591841162680328,0
62,32697,0.273815518847933,0
58,22842,4.874076009703344,0
46,72902,8.360965533439735,1
32,45372,0.6353308804583913,0
62,26509,6.099099334816035,0
18,60469,3.204751494695902,0
42,78738,2.002775289961234,1
24,79225,5.284748041012079,0
26,69595,7.959713106492337,0
41,53113,7.785635010651956,0
18,87251,1.7419362282629536,0
61,41076,3.481825038986408,0
25,50100,3.4819549052310528,0
41,70793,8.244533275756762,0
28,21159,4.9626676478319895,0
34,77716,3.7524032597591983,0
25,85857,8.051646595051906,1
52,81421,8.9095224106147,1
52,34561,3.2378591283943514,0
50,70891,9.85244864705836,0
22,87601,5.357301681682082,0
59,28786,0.6192556818869766,0
56,25434,3.657237327534392,0
58,77014,5.442521230121564,0
45,28313,8.264945425186408,0
24,44586,7.091951765036763,0
26,58865,1.9950582309671805,0
25,75476,4.2369109538857685,0
29,59324,0.9832653736264485,0
51,52241,8.772902028308682,0
50,20219,0.03720050177683065,0
40,29352,2.607068752846412,0
41,68293,7.623107354766075,0
54,44326,0.22010012653043254,0
52,82400,7.210447606723793,1
61,53198,6.543344691895749,0
57,63041,4.454509995319025,0
39,98142,1.4135625151309694,1
44,98098,3.094760693805209,1
52,45773,1.990776540568372,0
18,95063,0.05951508554204343,1
52,80023,3.6775820816653026,1
54,31677,9.023955633291957,0
64,93187,4.795779044558036,1
31,53209,6.006137869811047,0
20,58686,9.414033458262217,0
18,53257,4.508988704017847,0
22,68174,5.83465782782269,0
43,88556,0.9235845458307868,1
31,63300,1.337047992810072,0
56,30318,5.840039312850608,0
44,49282,0.4778319202178771,0
26,38076,0.35807728355002233,0
32,23543,1.045269679575238,0
32,77900,2.3319975995170505,0
43,87912,0.9756791896160877,1
59,20398,2.561943826462154,0
30,93695,7.3863706758830805,1
49,73905,4.156204299883127,0
56,40124,6.64144423876078,0
49,25433,7.64504268034127,0
21,78717,3.2806709502039464,1
47,72892,8.940971696182116,0
54,26814,8.615095983479547,0
40,87197,4.132260972198801,1
56,75144,8.25403013811,1
62,30538,3.370763921011907,0
32,87738,7.233724139288084,1
60,87189,9.711574005192938,1
46,86562,3.115452875526541,1
53,36360,5.725407334199102,0
30,90502,3.603119974870812,0
49,87571,4.973703499340923,0
24,86188,2.1780925757826965,0
39,51584,4.281855802510201,0
45,78427,6.445943192266958,0
19,61555,3.4463647541206077,0
59,77154,2.889689148406852,1
62,66277,3.3104623386960186,0
23,20848,3.1238776768301344,0
45,59802,1.6042128195448058,0
45,43712,9.06305015119688,0
61,72085,9.557093216070077,1
61,42975,2.647702162360257,0
37,77832,6.1669051827600265,1
47,98829,3.151607234144649,1
28,44389,5.800828103022845,0
45,38754,2.9326566788489283,0
42,95157,0.6081265131205638,0
56,52199,1.49779390626397,0
50,76087,5.231972428376709,0
18,70380,2.493767803720701,0
44,69472,4.8360848746981455,0
30,33439,9.100426531105821,0
58,70088,0.4105534566478297,0
20,87683,8.152912322923903,1
56,73574,4.869076658029093,0
23,20241,1.5435129195547448,0
25,57919,2.3216155608836586,0
44,67885,9.908838195757063,1
26,26796,3.477388028129508,0
54,78801,0.6480125777309642,0
50,96967,5.857551983580594,1
59,46736,1.921953342800179,0
61,46145,8.98467806848523,0
41,44109,3.5461945985306684,0
32,55840,6.18346489658029,0
49,71617,8.515146567178192,0
49,73434,9.84087515045998,0
41,90080,9.583960256571363,1
58,24849,1.1236844866132623,0
29,74156,3.377424502888532,0
56,80481,6.430626928349916,1
19,22979,1.2420715151761563,0
20,32208,3.8278305237364343,0
54,51431,9.50434864943312,0
34,82550,1.907571859351278,1
19,54744,4.970280030415427,0
19,76152,0.49547620991311714,0
45,60674,6.399480676886378,0
40,29354,5.931864276479702,0
54,55050,8.353630676440545,0
49,53541,8.71841283223065,0
50,45449,2.12415529156625,0
18,39433,8.592491635244189,0
36,94737,9.80011994264753,1
19,25932,8.847265726237106,0
61,54512,8.636672041820223,0
43,71427,5.7201524369238825,1
49,86208,6.551311640321554,1
23,46812,7.882386582317491,0
49,49980,1.7823121963044208,0
21,70372,9.774776497665215,0
28,32286,2.981286513967926,0
34,61372,5.145587078333414,0
55,77756,5.48175989665932,1
41,66095,8.366512639103131,0
22,44835,4.656982394960046,0
51,53856,4.14446751150101,0
23,53755,3.5380237735331987,0
39,32928,8.844575249454627,0
28,32793,8.516218744153525,0
33,42235,4.290870609348555,0
50,93279,4.156443522386213,1
26,55569,1.8916966648860023,0
23,25578,5.032154498268123,0
33,53830,3.3961380432247057,0
46,75931,4.0600195924200735,0
20,29336,1.9577359014628626,0
37,57459,6.153373818455136,0
53,42736,4.360829901129546,0
36,39206,9.064561184537567,0
43,49622,4.261983355712427,0
20,30819,7.883702853656956,0
36,58691,5.947657837288947,0
37,45309,8.98780718203125,0
49,69152,8.598676980363452,1
24,65814,8.6411391004418,0
58,76395,9.781911778595575,0
50,98224,1.0838215723104916,1
57,40047,2.7747063347704435,0
56,36159,0.0013282602441344604,0
35,57613,8.064296721476516,0
57,37279,6.965225788768765,0
18,68220,9.305937158680642,0
28,79983,7.079722296684904,0
45,51491,0.5895670093792993,0
42,35764,2.1688401577115757,0
40,76829,0.9282063137892305,0
48,40594,0.16252157381429266,0
47,72907,2.7211662546138813,0
59,68243,5.793260873239005,1
52,68235,8.710125621744387,1
24,33003,6.637683026072504,0
33,93360,1.8479736440881867,1
43,95811,4.809602734823426,1
19,32188,2.2947699101421803,0
18,89221,5.963596787629932,0
29,61602,5.999651207369604,0
22,47586,3.554332380646711,0
54,76004,1.6672579869600612,1
49,97870,7.174944753237779,1
26,51957,2.9930075437778605,0
58,67262,9.287568654824005,1
52,44610,3.9377606950809927,0
36,38310,0.07772516221036807,0
33,59399,5.399813904481977,0
20,67928,5.105509007341313,0
37,90141,3.5319530492430884,1
41,22676,1.2961472605765634,0
50,93326,6.782089678208642,1
41,48485,2.9886380145222216,0
28,86918,0.4504190873257641,1
25,31310,9.146653905752766,0
53,80516,1.6115039472140469,1
55,30138,1.4967887654579093,0
57,55413,1.4565155813595076,0
37,56267,2.4149582401575485,0
52,58851,2.324341050515347,0
42,29964,1.387449005733723,0
52,31237,7.63581375884879,0
42,63555,7.22967348662432,0
46,67811,0.3977238429078178,0
35,93964,1.2391383896626162,1
63,50281,7.938239495715191,0
35,82303,5.319612856528625,0
19,32617,2.098069890868298,0
52,28650,7.9008646154218365,0
33,66705,7.42144301207464,0
58,28376,7.266518118600268,0
53,98825,0.8459373604852782,1
50,20312,7.534186367783011,0
21,51908,4.007475083560892,0
50,22990,2.1645316634749356,0
31,42021,4.6163905732948995,0
38,77248,2.9849776298062047,0
37,38204,8.716766049559869,0
25,74967,5.161963912166848,0
24,25956,6.975114821382964,0
20,88949,0.857347437460626,0
